Message_ID_Hex,Message_Name,Signal_Name,Start_Bit,Length_Bits,Endianness,Type,Factor,Offset,Unit,Notes_and_Source
0x202,VCU_202,Torque_desired_unk,,,,,,,,Powertrain CAN (P-CAN)
0x202,VCU_202,REGEN_LEVEL,23,4,,,,,,Powertrain CAN (P-CAN)
0x202,VCU_202,Counter,,,,,,,,Powertrain CAN (P-CAN)
0x220,StabilityControl,LAT_ACCEL,,,,,,,,Powertrain CAN (P-CAN)
0x220,StabilityControl,LONG_ACCEL,,,,,,,,Powertrain CAN (P-CAN)
0x220,StabilityControl,YAW_RATE,,,,,,,,Powertrain CAN (P-CAN)
0x220,StabilityControl,CYL_PRES,,,,,,,,Powertrain CAN (P-CAN)
0x386,IEB_386_WHEEL,WHL_SPD_FL,,,,,,,,Powertrain CAN (P-CAN)
0x386,IEB_386_WHEEL,WHL_SPD_FR,,,,,,,,Powertrain CAN (P-CAN)
0x386,IEB_386_WHEEL,WHL_SPD_RL,,,,,,,,Powertrain CAN (P-CAN)
0x386,IEB_386_WHEEL,WHL_SPD_RR,,,,,,,,Powertrain CAN (P-CAN)
0x2B0,Steering,Angle,,,,,,,,Powertrain CAN (P-CAN)
0x2B0,Steering,Speed,,,,,,,,Powertrain CAN (P-CAN)
0x2B0,Steering,Stat,,,,,,,,Powertrain CAN (P-CAN)
0x541,BodyState,IgnitionSw,,,,,,,,Powertrain CAN (P-CAN)
0x541,BodyState,DrvDoorSw,,,,,,,,Powertrain CAN (P-CAN)
0x541,BodyState,DrvSeatBeltSw,,,,,,,,Powertrain CAN (P-CAN)
0x541,BodyState,HazardSw,,,,,,,,Powertrain CAN (P-CAN)
0x541,BodyState,headlamps,,,,,,,,Powertrain CAN (P-CAN)
0x541,BodyState,wipers,,,,,,,,Powertrain CAN (P-CAN)
0x595,Batt_HV_Status,PrechargeRelay,,,,,,,,Powertrain CAN (P-CAN)
0x595,Batt_HV_Status,ACChargerDetected,,,,,,,,Powertrain CAN (P-CAN)
0x595,Batt_HV_Status,DCFastChargerDetected,,,,,,,,Powertrain CAN (P-CAN)
0x595,Batt_HV_Status,IBatt,,,,,,,,Powertrain CAN (P-CAN)
0x595,Batt_HV_Status,VBatt,,,,,,,,Powertrain CAN (P-CAN)
0x596,BatteryCharging,Voltage_12V,,,,,,,,Powertrain CAN (P-CAN)
0x596,BatteryCharging,remainingChTAC,,,,,,,,Powertrain CAN (P-CAN)
0x596,BatteryCharging,remainingChTDC,,,,,,,,Powertrain CAN (P-CAN)
0x596,BatteryCharging,TAkkuL,,,,,,,,Powertrain CAN (P-CAN)
0x596,BatteryCharging,TAkkuH,,,,,,,,Powertrain CAN (P-CAN)
0x448,Steering_Buttons,Star_Button,,,,,,,,Identified by Thomas212; related to star button
0x1CF,Steering_Buttons,Paddle_LKA_Buttons,,,,,,,,Mapped by opendbc
0x419,Preconditioning_Status,Status,,,,,,,,Flips when preconditioning starts/stops
0x0C7,Nav_Head_Unit,Precond_Command_1,,,,,,,,Start/stop preconditioning; sent by M-CAN nav head unit; forwards to E-CAN
0x4ED,Nav_Head_Unit,Precond_Command_2,,,,,,,,Start/stop preconditioning; sent by M-CAN nav head unit; blocked from E-CAN
0x3F5,HV_Current,Current_Byte16,128,16,,,,,0.01,,Likely HV current counters or heater circuit amperage. Bytes 16-17.
0x3F5,HV_Current,Current_Byte20,160,16,,,,,0.01,,Likely HV current counters or heater circuit amperage. Bytes 20-21.
0x3F0,Thermal_Sensors,Temp_Electronics,72,8,,,,,,C,38C -> 45C Electronics thermal drift
0x235,Thermal_Sensors,Temp_Internal,32,8,,,,,,C,33C -> 39C over 400s
0x4EB,Thermal_Sensors,Temp_Cooler,16,8,,,,,,C,-12C -> -5C (cooler than ambient)
0x10A,Thermal_Sensors,Temp_Outdoor,112,8,,,,,,C,-5C -> -4C (outdoor temp sensor)
0x25A,Thermal_Command,THERMAL_CMD,24,8,,,,,,,Byte 3 jumps to 114.64. Toggles preconditioning.
0x325,Precond_Data,Unknown_Byte12,96,8,,,,,,,Mirrors 0x25A changes
0x330,Precond_Data,Unknown_Byte3,24,8,,,,,,,Mirrors 0x25A changes
0x360,Precond_Data,HEATER_RAMP_2,192,8,,,,,,,Heater related
0x2AA,Precond_Data,Coolant_Pump,136,8,,,,,,,State: coolant_pump -> heating_active
0x2AA,Precond_Data,HEATER_ENABLE_FLAG,88,8,,,,,,,Flag changes 0x00 -> 0x02
